"Rank_1";"Rank_2";"Rank_3";"Rank_4";"Rank_5";"Rank_6";"Rank_7";"Rank_8";"Rank_9";"Rank_10";"Rank_11";"Rank_12"
"CDU/CSU - FDP";"CDU/CSU - Grüne";"CDU/CSU - FDP - Grüne";"CDU/CSU - SPD";"SPD - Grüne";"Grüne - SPD";"SPD - FDP - Grüne";"Grüne - SPD - FDP";"SPD - Grüne - Linke";"SPD - CDU/CSU";"Grüne - SPD - Linke";"Grüne - CDU/CSU"
"CDU/CSU - FDP";"CDU/CSU - Grüne";"SPD - Grüne";"CDU/CSU - SPD";"SPD - Grüne - Linke";"CDU/CSU - FDP - Grüne";"Grüne - CDU/CSU";"SPD - CDU/CSU";"Grüne - SPD - Linke";"Grüne - SPD";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"CDU/CSU - FDP";"SPD - Grüne";"Grüne - SPD";"CDU/CSU - SPD";"CDU/CSU - Grüne";"SPD - CDU/CSU";"Grüne - CDU/CSU";"SPD - Grüne - Linke";"Grüne - SPD - Linke";"CDU/CSU - FDP - Grüne";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"CDU/CSU - Grüne";"Grüne - SPD";"SPD - Grüne";"SPD - CDU/CSU";"CDU/CSU - SPD";"SPD - Grüne - Linke";"Grüne - SPD - Linke";"Grüne - CDU/CSU";"CDU/CSU - FDP";"CDU/CSU - FDP - Grüne";"Grüne - SPD - FDP";"SPD - FDP - Grüne"
"CDU/CSU - FDP";"SPD - Grüne";"CDU/CSU - SPD";"CDU/CSU - Grüne";"Grüne - SPD";"SPD - CDU/CSU";"Grüne - CDU/CSU";"CDU/CSU - FDP - Grüne";"SPD - Grüne - Linke";"SPD - FDP - Grüne";"Grüne - SPD - FDP";"Grüne - SPD - Linke"
"CDU/CSU - FDP";"Grüne - SPD";"CDU/CSU - Grüne";"SPD - Grüne";"Grüne - CDU/CSU";"CDU/CSU - SPD";"CDU/CSU - FDP - Grüne";"Grüne - SPD - Linke";"SPD - Grüne - Linke";"Grüne - SPD - FDP";"SPD - FDP - Grüne";"SPD - CDU/CSU"
"CDU/CSU - FDP";"SPD - Grüne";"Grüne - SPD";"SPD - Grüne - Linke";"Grüne - CDU/CSU";"Grüne - SPD - Linke";"CDU/CSU - Grüne";"CDU/CSU - SPD";"SPD - CDU/CSU";"CDU/CSU - FDP - Grüne";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"CDU/CSU - Grüne";"CDU/CSU - FDP";"CDU/CSU - FDP - Grüne";"CDU/CSU - SPD";"Grüne - CDU/CSU";"Grüne - SPD";"SPD - Grüne";"SPD - CDU/CSU";"SPD - FDP - Grüne";"Grüne - SPD - FDP";"Grüne - SPD - Linke";"SPD - Grüne - Linke"
"CDU/CSU - FDP";"Grüne - SPD";"CDU/CSU - Grüne";"SPD - Grüne";"Grüne - SPD - Linke";"SPD - Grüne - Linke";"CDU/CSU - SPD";"SPD - CDU/CSU";"Grüne - SPD - FDP";"SPD - FDP - Grüne";"CDU/CSU - FDP - Grüne";"Grüne - CDU/CSU"
"Grüne - SPD";"SPD - Grüne";"CDU/CSU - FDP";"SPD - CDU/CSU";"CDU/CSU - SPD";"CDU/CSU - Grüne";"Grüne - CDU/CSU";"SPD - Grüne - Linke";"Grüne - SPD - Linke";"CDU/CSU - FDP - Grüne";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"SPD - Grüne";"CDU/CSU - FDP";"Grüne - SPD";"SPD - Grüne - Linke";"SPD - FDP - Grüne";"Grüne - SPD - Linke";"CDU/CSU - Grüne";"CDU/CSU - FDP - Grüne";"CDU/CSU - SPD";"Grüne - SPD - FDP";"SPD - CDU/CSU";"Grüne - CDU/CSU"
"CDU/CSU - FDP";"SPD - Grüne";"CDU/CSU - Grüne";"CDU/CSU - SPD";"Grüne - CDU/CSU";"SPD - CDU/CSU";"Grüne - SPD";"SPD - Grüne - Linke";"Grüne - SPD - Linke";"CDU/CSU - FDP - Grüne";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"CDU/CSU - FDP";"SPD - Grüne";"Grüne - SPD";"CDU/CSU - Grüne";"CDU/CSU - SPD";"SPD - CDU/CSU";"Grüne - CDU/CSU";"CDU/CSU - FDP - Grüne";"SPD - Grüne - Linke";"Grüne - SPD - Linke";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"CDU/CSU - Grüne";"CDU/CSU - FDP";"Grüne - CDU/CSU";"Grüne - SPD";"SPD - Grüne";"CDU/CSU - FDP - Grüne";"SPD - Grüne - Linke";"CDU/CSU - SPD";"SPD - CDU/CSU";"Grüne - SPD - Linke";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
"CDU/CSU - FDP";"SPD - Grüne";"CDU/CSU - Grüne";"CDU/CSU - SPD";"CDU/CSU - FDP - Grüne";"SPD - CDU/CSU";"SPD - Grüne - Linke";"SPD - FDP - Grüne";"Grüne - SPD";"Grüne - SPD - Linke";"Grüne - CDU/CSU";"Grüne - SPD - FDP"
"CDU/CSU - Grüne";"Grüne - CDU/CSU";"CDU/CSU - FDP";"SPD - Grüne";"Grüne - SPD";"CDU/CSU - SPD";"SPD - CDU/CSU";"CDU/CSU - FDP - Grüne";"SPD - Grüne - Linke";"Grüne - SPD - Linke";"SPD - FDP - Grüne";"Grüne - SPD - FDP"
